Type,v,w
curve,5,-0.322
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.3045
curve,5,-0.28609999999999997
curve,5,-0.25029999999999997
curve,5,-0.25229999999999997
curve,5,-0.1971
curve,5,-0.11729999999999999
curve,5,-0.12179999999999999
curve,5,-0.041499999999999995
curve,5,-0.046
curve,5,0.056
curve,5,0.05
curve,5,0.1401
curve,5,0.135
curve,5,0.135
straight,13,0.10830000000000001
straight,13,0.1053
curve,5,0.2162
curve,5,0.215
curve,5,0.2521
curve,5,0.25
curve,5,0.25
curve,5,0.31729999999999997
curve,5,0.31279999999999997
curve,5,0.27885000000000004
curve,5,0.2806
curve,5,0.2224
curve,5,0.2254
curve,5,0.1381
curve,5,0.1426
curve,5,0.1426
curve,5,0.0543
curve,5,0.06
curve,5,-0.0248
curve,5,-0.02
curve,5,-0.02
curve,5,-0.11009999999999999
curve,5,-0.105
curve,5,-0.1633
curve,5,-0.16
curve,5,-0.16
curve,5,-0.20240000000000002
curve,5,-0.2
curve,5,-0.19369999999999998
curve,5,-0.19319999999999998
curve,5,-0.1835
curve,5,-0.184
curve,5,-0.15975
curve,5,-0.161
curve,5,-0.161
curve,5,-0.1222
curve,5,-0.1242
curve,5,-0.08055
curve,5,-0.0828
curve,5,-0.0828
curve,5,-0.037
curve,5,-0.04
curve,5,-0.04
curve,5,0.0077
curve,5,0.005
curve,5,0.052700000000000004
curve,5,0.05
curve,5,0.05
curve,5,0.0924
curve,5,0.09
straight,13,0.05745
straight,13,0.0567
straight,13,0.06555
straight,13,0.0648
straight,13,0.0648
curve,5,0.1306
curve,5,0.13
curve,5,0.20420000000000002
curve,5,0.2
curve,5,0.2
curve,5,0.2131
curve,5,0.2116
curve,5,0.2116
curve,5,0.177
curve,5,0.18
curve,5,0.1058
curve,5,0.11
curve,5,0.11
curve,5,0.030500000000000003
curve,5,0.035
curve,5,0.035
straight,13,-0.01945
straight,13,-0.0162
straight,13,-0.0162
curve,5,-0.083
curve,5,-0.08
curve,5,-0.08
curve,5,-0.1542
curve,5,-0.15
curve,5,-0.19619999999999999
curve,5,-0.19319999999999998
curve,5,-0.19319999999999998
curve,5,-0.2029
curve,5,-0.2024
curve,5,-0.17815
curve,5,-0.1794
curve,5,-0.14545
curve,5,-0.1472
curve,5,-0.1472
curve,5,-0.09384999999999999
curve,5,-0.09659999999999999
curve,5,-0.04325
curve,5,-0.046
curve,5,0.013600000000000001
curve,5,0.01
curve,5,0.07360000000000001
curve,5,0.07
curve,5,0.07
curve,5,0.1124
curve,5,0.11
straight,13,0.0771
straight,13,0.0756
curve,5,0.1612
curve,5,0.16
curve,5,0.16
curve,5,0.1547
curve,5,0.155
curve,5,0.1285
curve,5,0.13
curve,5,0.09820000000000001
curve,5,0.1
straight,13,0.027450000000000002
straight,13,0.0297
straight,13,0.0297
straight,13,0.0060999999999999995
straight,13,0.0081
straight,13,-0.00075
straight,13,-0.0
curve,5,-0.0212
curve,5,-0.02
curve,5,-0.02
curve,5,-0.0412
curve,5,-0.04
curve,5,-0.0612
curve,5,-0.06
curve,5,-0.07060000000000001
curve,5,-0.07
curve,5,-0.07
curve,5,-0.07529999999999999
curve,5,-0.075
curve,5,-0.075
curve,5,-0.075
curve,5,-0.0644
curve,5,-0.065
curve,5,-0.049100000000000005
curve,5,-0.05
curve,5,-0.05
curve,5,-0.0288
curve,5,-0.03
curve,5,-0.0088
curve,5,-0.01
curve,5,-0.01
curve,5,0.0112
curve,5,0.01
curve,5,0.0312
curve,5,0.03
curve,5,0.040600000000000004
curve,5,0.04
curve,5,0.04
curve,5,0.050600000000000006
curve,5,0.05
curve,5,0.05
curve,5,0.05
straight,13,0.027000000000000003
straight,13,0.027000000000000003
straight,13,0.0211
straight,13,0.0216
straight,13,0.0216
straight,13,0.0216
straight,13,0.0393
straight,13,0.0378
straight,13,0.0378
curve,5,0.0912
curve,5,0.09
curve,5,0.11120000000000001
curve,5,0.11
curve,5,0.11
curve,5,0.11
curve,5,0.06760000000000001
curve,5,0.07
straight,13,0.0083
straight,13,0.0108
straight,13,0.0108
straight,13,-0.018699999999999998
straight,13,-0.0162
straight,13,-0.0162
curve,5,-0.083
curve,5,-0.08
curve,5,-0.08
curve,5,-0.11710000000000001
curve,5,-0.115
curve,5,-0.12029999999999999
curve,5,-0.12
curve,5,-0.12
curve,5,-0.12
curve,5,-0.12
curve,5,-0.1041
curve,5,-0.105
curve,5,-0.0785
curve,5,-0.08
curve,5,-0.08
curve,5,-0.0482
curve,5,-0.05
curve,5,-0.0235
curve,5,-0.025
curve,5,0.0121
curve,5,0.01
curve,5,0.01
curve,5,0.041800000000000004
curve,5,0.04
curve,5,0.04
curve,5,0.0612
curve,5,0.06
straight,13,0.0442
straight,13,0.0432
straight,13,0.046150000000000004
straight,13,0.0459
straight,13,0.05475000000000001
straight,13,0.054000000000000006
curve,5,0.1583
curve,5,0.155
curve,5,0.20800000000000002
curve,5,0.20500000000000002
curve,5,0.20500000000000002
curve,5,0.20315
curve,5,0.2024
curve,5,0.1617
curve,5,0.165
curve,5,0.08549999999999999
curve,5,0.09
curve,5,-9.99999999999994e-05
curve,5,0.005
straight,13,-0.047450000000000006
straight,13,-0.0432
curve,5,-0.1542
curve,5,-0.15
curve,5,-0.15
curve,5,-0.203
curve,5,-0.2
curve,5,-0.19369999999999998
curve,5,-0.19319999999999998
curve,5,-0.19319999999999998
curve,5,-0.19319999999999998
curve,5,-0.19319999999999998
curve,5,-0.1738
curve,5,-0.1748
curve,5,-0.136
curve,5,-0.138
curve,5,-0.138
curve,5,-0.0992
curve,5,-0.1012
curve,5,-0.0527
curve,5,-0.0552
curve,5,-0.0552
curve,5,-0.007000000000000001
curve,5,-0.01
curve,5,0.0324
curve,5,0.03
curve,5,0.03
curve,5,0.0724
curve,5,0.07
curve,5,0.07
curve,5,0.0912
curve,5,0.09
straight,13,0.051550000000000006
straight,13,0.051300000000000005
straight,13,0.051300000000000005
straight,13,0.06015
straight,13,0.0594
straight,13,0.0594
curve,5,0.1895
curve,5,0.185
curve,5,0.2284
curve,5,0.2254
curve,5,0.2545
curve,5,0.253
curve,5,0.2045
curve,5,0.207
curve,5,0.1455
curve,5,0.15
curve,5,0.049300000000000004
curve,5,0.055
curve,5,0.055
curve,5,-0.0457
curve,5,-0.04
curve,5,-0.1142
curve,5,-0.11
curve,5,-0.1789
curve,5,-0.17500000000000002
curve,5,-0.2227
curve,5,-0.22
curve,5,-0.2218
curve,5,-0.2208
curve,5,-0.21595
curve,5,-0.2162
curve,5,-0.2162
curve,5,-0.1871
curve,5,-0.1886
curve,5,-0.14495
curve,5,-0.1472
curve,5,-0.09384999999999999
curve,5,-0.09659999999999999
curve,5,-0.09659999999999999
curve,5,-0.04325
curve,5,-0.046
curve,5,0.0029999999999999996
curve,5,-0.0
curve,5,-0.0
curve,5,0.053000000000000005
curve,5,0.05
curve,5,0.0924
curve,5,0.09
straight,13,0.0663
straight,13,0.0648
straight,13,0.07365000000000001
straight,13,0.0729
curve,5,0.1615
curve,5,0.16
curve,5,0.16
curve,5,0.2236
curve,5,0.22
curve,5,0.1882
curve,5,0.19
curve,5,0.137
curve,5,0.14
curve,5,0.0764
curve,5,0.08
straight,13,-0.004
straight,13,-0.0
straight,13,-0.0
curve,5,-0.0689
curve,5,-0.065
curve,5,-0.1339
curve,5,-0.13
curve,5,-0.19235
curve,5,-0.1886
curve,5,-0.1886
curve,5,-0.208
curve,5,-0.207
curve,5,-0.19244999999999998
curve,5,-0.19319999999999998
curve,5,-0.19319999999999998
curve,5,-0.1641
curve,5,-0.1656
curve,5,-0.1268
curve,5,-0.1288
curve,5,-0.0706
curve,5,-0.0736
curve,5,-0.0164
curve,5,-0.02
curve,5,-0.02
curve,5,0.033
curve,5,0.03
curve,5,0.0724
curve,5,0.07
curve,5,0.07
curve,5,0.1124
curve,5,0.11
straight,13,0.0712
