Type,v,w
straight,13,0.005900000000000001
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,0.0054
straight,13,-0.015250000000000001
straight,13,-0.013500000000000002
curve,5,-0.3589
curve,5,-0.34
curve,5,-0.9076
curve,5,-0.87435
exception,5,-1.3017499999999997
exception,5,-1.2674999999999998
exception,5,-1.5675
exception,5,-1.5487499999999998
exception,5,-1.5907499999999999
exception,5,-1.573
exception,5,-1.8074999999999999
exception,5,-1.7907499999999998
exception,5,-1.94125
exception,5,-1.9304999999999999
exception,5,-2.0144999999999995
exception,5,-2.0084999999999997
exception,5,-2.054
exception,5,-2.05075
exception,5,-2.04025
exception,5,-2.041
exception,5,-1.9745
exception,5,-1.97925
exception,5,-1.87075
exception,5,-1.8784999999999998
exception,5,-1.6055
exception,5,-1.625
exception,5,-1.2994999999999999
exception,5,-1.3227499999999999
exception,5,-1.0495
exception,5,-1.0745
exception,5,-0.6995
exception,5,-0.7245
curve,5,-0.38425
curve,5,-0.40875
curve,5,-0.048749999999999995
curve,5,-0.07125
curve,5,0.24855
curve,5,0.23054999999999998
curve,5,0.5459
curve,5,0.53
curve,5,0.5990999999999999
curve,5,0.5915999999999999
curve,5,0.54825
curve,5,0.548
curve,5,0.45025000000000004
curve,5,0.456
curve,5,0.2775
curve,5,0.28800000000000003
curve,5,0.05850000000000001
curve,5,0.07200000000000001
curve,5,-0.2207
curve,5,-0.20445
curve,5,-0.5742
curve,5,-0.555
curve,5,-0.8995
curve,5,-0.88
curve,5,-1.014
curve,5,-1.0005
curve,5,-1.0005
curve,5,-1.1706999999999999
curve,5,-1.1614499999999999
curve,5,-1.1572500000000001
curve,5,-1.1520000000000001
straight,9,-0.7434
exception,5,-1.1404999999999998
exception,5,-1.14
exception,5,-1.1079999999999999
exception,5,-1.1099999999999999
exception,5,-1.1099999999999999
exception,5,-1.05
exception,5,-1.05375
curve,5,-1.0305
curve,5,-1.036
curve,5,-0.92125
curve,5,-0.928
curve,5,-0.792
curve,5,-0.8
curve,5,-0.64275
curve,5,-0.652
curve,5,-0.48625
curve,5,-0.496
curve,5,-0.37379999999999997
curve,5,-0.3828
curve,5,-0.2593
curve,5,-0.2668
curve,5,-0.2158
curve,5,-0.22
curve,5,-0.2518
curve,5,-0.25
curve,5,-0.35600000000000004
curve,5,-0.35000000000000003
curve,5,-0.5143
curve,5,-0.505
curve,5,-0.6586
curve,5,-0.6486
curve,5,-0.8433499999999999
curve,5,-0.83085
curve,5,-1.10225
curve,5,-1.0875
straight,9,-0.7907
straight,9,-0.7742
exception,5,-1.485
exception,5,-1.46625
exception,5,-1.7502499999999999
exception,5,-1.7325
exception,5,-1.9284999999999999
exception,5,-1.898
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
missing,-0.6,-1
exception,5,-2.0555
exception,5,-2.04425
exception,5,-1.9952499999999997
exception,5,-1.9987499999999998
exception,5,-1.92875
exception,5,-1.9337499999999999
exception,5,-1.7482499999999999
exception,5,-1.7614999999999998
exception,5,-1.4675
exception,5,-1.4885
exception,5,-1.24675
exception,5,-1.2705
exception,5,-0.8955
exception,5,-0.9205
exception,5,-0.538
exception,5,-0.5635
curve,5,-0.20375
curve,5,-0.22874999999999998
curve,5,0.10450000000000001
curve,5,0.084
curve,5,0.42155
curve,5,0.4048
curve,5,0.6182
curve,5,0.6072
curve,5,0.6569999999999999
curve,5,0.6525
curve,5,0.6525
curve,5,0.5575000000000001
curve,5,0.56
curve,5,0.4155
curve,5,0.424
curve,5,0.20299999999999999
curve,5,0.216
curve,5,-0.04325
curve,5,-0.028
curve,5,-0.36685
