Type,v,w
curve,5,-0.0291
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.0276
curve,5,-0.008199999999999999
curve,5,-0.0092
curve,5,0.0102
curve,5,0.0092
curve,5,0.0092
curve,5,0.048
curve,5,0.0848
curve,5,0.0828
curve,5,0.1536
curve,5,0.2242
curve,5,0.22
straight,13,0.16305
straight,13,0.1593
straight,13,0.19175
straight,13,0.189
curve,5,0.5037
curve,5,0.495
curve,5,0.7710499999999999
curve,5,0.7525499999999999
curve,5,0.9385
curve,5,0.924
curve,5,0.9834999999999999
curve,5,0.98
curve,5,1.0395
curve,5,1.036
exception,5,1.03525
exception,5,1.03125
exception,5,1.1032499999999998
exception,5,1.09875
exception,5,1.1787499999999997
exception,5,1.1737499999999998
exception,5,1.2417500000000001
exception,5,1.2375
exception,5,1.2935
exception,5,1.29
exception,5,1.302
exception,5,1.30125
exception,5,1.18075
exception,5,1.183
exception,5,1.0705
exception,5,1.078
exception,5,0.9017499999999999
exception,5,0.9135
exception,5,0.9135
exception,5,0.6885
exception,5,0.7035
curve,5,0.48974999999999996
curve,5,0.50625
curve,5,0.22625
curve,5,0.24375
curve,5,-0.02825
curve,5,-0.01125
curve,5,-0.30745
curve,5,-0.29145
curve,5,-0.6
curve,5,-0.585
curve,5,-0.7031
curve,5,-0.6946
curve,5,-0.7304499999999999
curve,5,-0.7264499999999999
curve,5,-0.63825
curve,5,-0.64
curve,5,-0.5465000000000001
curve,5,-0.552
curve,5,-0.399
curve,5,-0.40800000000000003
curve,5,-0.2505
curve,5,-0.261
curve,5,-0.0432
curve,5,-0.0552
curve,5,0.1944
curve,5,0.18
curve,5,0.4344
curve,5,0.42
curve,5,0.5448
curve,5,0.5350499999999999
curve,5,0.6638499999999999
curve,5,0.6568499999999999
curve,5,0.67625
curve,5,0.672
curve,5,0.6890000000000001
curve,5,0.6880000000000001
curve,5,0.6625000000000001
curve,5,0.664
curve,5,0.6045
curve,5,0.608
curve,5,0.523
curve,5,0.528
curve,5,0.4175
curve,5,0.424
curve,5,0.305
curve,5,0.312
curve,5,0.1845
curve,5,0.192
curve,5,0.07999999999999999
curve,5,0.087
curve,5,-0.024399999999999998
curve,5,-0.0184
curve,5,-0.126
curve,5,-0.12
curve,5,-0.18359999999999999
curve,5,-0.18
curve,5,-0.2118
curve,5,-0.21
curve,5,-0.1888
curve,5,-0.19
curve,5,-0.137
curve,5,-0.14
curve,5,-0.0552
curve,5,-0.06
curve,5,0.046
curve,5,0.04
curve,5,0.1566
curve,5,0.15
curve,5,0.256
curve,5,0.25
curve,5,0.31729999999999997
curve,5,0.31279999999999997
curve,5,0.371
curve,5,0.368
curve,5,0.3801999999999999
curve,5,0.37844999999999995
curve,5,0.39224999999999993
curve,5,0.39149999999999996
curve,5,0.3731
curve,5,0.3741
curve,5,0.3741
curve,5,0.35569999999999996
curve,5,0.35669999999999996
curve,5,0.31989999999999996
curve,5,0.32189999999999996
curve,5,0.2759
curve,5,0.2784
curve,5,0.22319999999999998
curve,5,0.22619999999999998
curve,5,0.181
curve,5,0.184
curve,5,0.1258
curve,5,0.1288
curve,5,0.087
curve,5,0.09
curve,5,0.0476
curve,5,0.05
curve,5,0.0235
curve,5,0.025
curve,5,0.0197
curve,5,0.02
straight,13,0.013750000000000002
straight,13,0.013500000000000002
curve,5,0.051500000000000004
curve,5,0.05
curve,5,0.1136
curve,5,0.11
curve,5,0.23720000000000002
curve,5,0.23
curve,5,0.30419999999999997
curve,5,0.3
curve,5,0.3245
curve,5,0.322
curve,5,0.3414
curve,5,0.3404
curve,5,0.3404
curve,5,0.3404
curve,5,0.32585000000000003
curve,5,0.3266
